"Layer","Head","Prompt","Input_Type","Comment"
0,2,15,1,"similar to a0.3 in d0"
0,2,15,1,"strong attention to [cls] token at the end of the input by tokens at the end of the input"
0,2,15,1,"strong attention to (second) [cls] token at the beginning of the input by tokens at the beginning of the input"
0,2,15,1,"tokens attend to previous token"
0,2,15,1,"also slightly staircase-like pattern: dot attends to previous previous token and itself as well, also next next token attends to dot"
3,0,15,1,"start of formation of vertical lines at [sep] tokens"
3,0,15,1,"tokens attend to tokens with the same meaning (similar semantics) i.e. someone -> someone, people; if -> if; is -> is, are (and vice versa); dots -> dots; etc."
3,0,15,1,"results in diagonal pattern only strongly for entailed fact and noticeably only for query -> theory and theory -> query, i.e. not theory -> theory"
3,1,15,1,"clearer formation of vertical lines at [sep] tokens"
3,1,15,1,"similar square pattern around tokens starting and ending query (attend to each other and themselves)"
3,1,15,1,"tokens attend to semantically similar tokens (i.e. properties to properties, subject to subject etc.), albeit less clear than with previous attention heads"
3,2,15,1,"delimiters (i.e. dots) attending to (same) delimiters: dots to dots, comma to comma"
3,2,15,1,"also strnagely enough other tokens attending to dots, but most noticeable (more strongly) at entailed fact in theory"
3,2,15,1,"formation of vertical lines"
3,2,15,1,"very strong attention from [sep] to [sep] tokens"
3,2,15,1,"less attention to [sep] tokens when already attended to previous tokens"
3,3,15,1,"most of tokens in if-statements (part differing across if-statements) attends to property token in consequence of if-statements"
3,3,15,1,"L-pattern for facts: previous dot, subject and is attend to property, is also attends to dot at end of fact"
3,4,15,1,"[sep] tokens attending to first [cls] token"
3,4,15,1,"strong vertical lines, almost no noise, except for in the query block"
3,5,15,1,"some subjects and properties attend to first [cls] token"
3,5,15,1,"subject of entailed fact attends [cls[] token at end of query, as does the subject otken of the query itself -> also for example with 1 reasoning step => not related to knowledge of this fact being in the query"
3,5,15,1,"every time a consecutive pair of ('is', property) appears, the property token attends to the subject token as well (like the 'is' token does as it attends to the previous token) and does not attend to the 'is' token as it would do in case of following the general rule"
3,5,15,1,"in general tokens attend to the previous token"
3,6,15,1,"bottom-left-corner pattern for tokens similar to the form 'subject is' in if-statements, both premise and consequence: subject and 'is'attend to subject and is also attends to 'is'"
3,6,15,1,"subjects and properties attend to first [cls] token"
3,6,15,1,"vertical dotted lines (strong attention to [sep] token when token attending is property or subject, weak attention when token attending is delimiter or 'is')"
3,6,15,1,"delimiters attending to delimiters and 'is' attending to 'is' (and semantically similar tokens like 'are')"
3,7,15,1,"again vertical dotted [sep] lines, again more strongly and more weak for respectively subject or property and delimiters and 'is'"
3,7,15,1,"delimiters and 'is' attending to delimiters (but comma not attending to other delimiters besides comma)"
3,8,15,1,"again all tokens attending to [SEP] and [CLS] tokens"
3,9,15,1,"subject and 'is' attend to the property, i.e. 'dave' and 'is' attend to 'cold'"
3,9,15,1,"properties (i.e. 'cold') attend to [CLS] token"
3,10,15,1,"'is' and '.' attend to nearby property tokens"
3,10,15,1,"properties attend to nearby dots"
3,11,15,1,"'is' attends to '.' of previous statement and subject of current statement"
3,11,15,1,"most strongly property attends to subject"
3,11,15,1,"'.' of current statement attends slightly to subject and 'is' of current statement"
3,11,15,1,"- again subjects attending to [CLS] token albeit weakly"
4,3,15,1,"tokens attend to the same tokens, also at different positions => again diagonal at position of query fact which is also in the theory"
5,0,15,1,"facts and rules attend to property at the end of themselves (property is always last token of a fact or rule (excluding delimiters))"
5,0,15,1,"if-statement seems to sort of split attention into premise attending to property at end of premise and consequence attending to property at end of consequence"
5,8,15,1,"vertical lines, for the first time with clear leakage, strangely enough just before start of query, as well as inside query 'block'"
5,8,15,1,"carpenter's square-pattern: previous token (i.e. dot before fact or token before start of consequence) attends to following statement (i.e. fact), statement attends to property at end of statement"
6,0,15,1,"consequence attending to premise"
6,0,15,1,"delimiter before query fact in theory and subject of fact attend to subject of fact in theory, similar attention from query fact in query to query fact in theory"
6,0,15,1,"'is' and more strongly property of query fact in theory attend to that same property of this fact in theory"
6,0,15,1,"[cls] tokens attend to subject of query fact in theory"
6,1,15,1,"mostly noise, with some patterns, these are similar to early sean patterns, i.e. tokens types attending to other token types i.e. 'is' to subjects"
6,1,15,1,"'then' attending to 'if' of same if-statement"
6,2,15,1,"block-region forming: lower-triangular pattern with 3 large triangles on their right-angle side: tokens attend to all previous tokens inside their own block-regions (i.e. fact-tokens attend to all previous fact-tokens, including previous facts, but not earlier if-statement)"
6,3,15,1,"strong vertical lines"
6,3,15,1,"no clear pattern: tokens from inside a statement attend to other tokens inside that statement, but not similarly across statements"
6,4,15,1,"[cls] tokens attend to subject of query fact in theory"
6,4,15,1,"also query fact in theory and in query attends to subject of query fact in theory, but also slightly to property of query fact in theory"
6,4,15,1,"again block forming with lower triangular pattern: tokens attending to previous tokens inside block with similar statements"
6,4,15,1,"sub patterns: 'is' and property attend to their subject"
6,5,15,1,"not super clear but subject and 'is' attend to their property, most strongly in premise and consequence of if-statement"
6,6,15,1,"tokens attending to next token: 'is' to property and previous dot to subject"
6,7,15,1,"mostly noise, some vertical lines, but not for consistent token types"
6,7,15,1,"both query fact in theory and in query attend to last fact, unrelated to query fact"
6,8,15,1,"'if' attends strongly to 'then'"
6,9,15,1,"sometimes property of fact also attends to 'is'"
6,9,15,1,"entailed fact attends to [cls] tokens"
6,9,15,1,"""subject is"" attends to previous token, i.e. 'if' for premise of if-statement, dot for fact, etc."
6,10,15,1,"'is' and property of premise attend to subject of premise"
6,10,15,1,"'then' attends to 'if'"
6,10,15,1,"'is' and property attend to both 'then' and subject of consequence"
6,10,15,1,"again [cls] tokens and query fact in both theory and query attending to subject and property of query fact in theory"
6,11,15,1,"tokens attend to previous token, except for delimiters (except for comma) which attend to [sep] tokens"
7,0,15,1,"continued block forming and sub blocks/regions: still lower triangular, but now if-statement divided into premise and consequence, also fact region split in individual facts"
7,0,15,1,"start of vertical lines dividing statements into their own regions, although still attention of nearby tokens stronger (somewhat of diagonal pattern inside of vertical pattern)"
7,1,15,1,"no super clear patterns"
7,1,15,1,"in if-statement tokens in premise and consequence attending to next token"
7,1,15,1,"is and dots attending to next dot and is respectively"
7,2,15,1,"again cls-tokens attending to query fact in query"
7,2,15,1,"query fact in theory and query attend to each other => also leakage into query region (between sep-lines), only for this statement though"
7,2,15,1,"again tokens attending to next token"
7,3,15,1,"again attention in block form in lower triangular part for if-statement"
7,3,15,1,"strong vertical sep-lines"
7,4,15,1,"tokens attend to previous token, except some delimiters attending to sep tokens"
