Layer,Head,Prompt,Input_Type,Comment,Pattern_Categories
10,1,15,1,and strong vertical sep lines,"['vertical sep lines', 'and strong', 'vertical sep', 'strong vertical', 'sep lines']"
10,7,15,1,very strong vertical sep lines,"['vertical sep lines', 'very strong', 'vertical sep', 'strong vertical', 'sep lines']"
10,8,15,1,very strong vertical sep lines,"['vertical sep lines', 'very strong', 'vertical sep', 'strong vertical', 'sep lines']"
10,0,15,1,apart from that mostly noise in and between blocks,"['apart from', 'and between', 'from that', 'in and', 'mostly noise', 'noise in', 'that mostly', 'between blocks']"
10,9,15,1,again outside of these regions very strong vertical sep lines,"['vertical sep lines', 'very strong', 'these regions', 'of these', 'regions very', 'of the', 'vertical sep', 'strong vertical', 'sep lines', 'outside of', 'again outside']"
10,10,15,1,tokens attending to themselves (diagonal),"['tokens attending to themselves', 'tokens at', 'to the', 'to themselves', 'themselves (diagonal)', 'tokens attending', 'tokens attend', 'attending to']"
10,10,15,1,again all tokens of second block attending to subject and property of last fact in theory,"['second block', 'all tokens', 'tokens of', 'fact in', 'block attending', 'to subject', 'of second', 'last fact', 'subject and', 'again all', 'attending to', 'property of', 'in the', 'in theory', 'and property', 'of last']"
10,10,15,1,tokens in non-query-fact regions attend to properties of premise and consequence of if-statement,"['regions attend', 'to properties', 'properties of', 'of premise', 'tokens in', 'consequence of', 'of if-statement', 'in no', 'and consequence', 'non-query-fact regions', 'premise and', 'attend to', 'in non-query-fact']"
10,11,15,1,again only very strong vertical sep lines,"['vertical sep lines', 'very strong', 'again only', 'only very', 'vertical sep', 'strong vertical', 'sep lines']"
10,2,15,1,only very strong vertical sep lines,"['vertical sep lines', 'very strong', 'only very', 'vertical sep', 'strong vertical', 'sep lines']"
9,0,15,1,fact tokens attending to themselves,"['tokens attending to themselves', 'tokens at', 'to the', 'to themselves', 'fact tokens', 'tokens attending', 'tokens attend', 'attending to']"
9,0,15,1,implicit if-statement tokens attending in no clear pattern,"['if-statement tokens', 'attending in', 'tokens at', 'clear pattern', 'tokens attending', 'in no', 'implicit if-statement', 'tokens attend', 'no clear']"
9,0,15,1,if-statement attending to properties at end of both its premise and consequence,"['both its', 'properties at', 'to properties', 'at end', 'of both', 'if-statement attending', 'its premise', 'end of', 'and consequence', 'attending to', 'premise and']"
10,3,15,1,very slightly,['very slightly']
10,3,15,1,but mostly: very strong vertical sep lines,"['vertical sep lines', 'very strong', 'but most', 'mostly: very', 'vertical sep', 'strong vertical', 'sep lines', 'but mostly:']"
10,6,15,1,again outside of these regions very strong vertical sep lines,"['vertical sep lines', 'very strong', 'these regions', 'of these', 'regions very', 'of the', 'vertical sep', 'strong vertical', 'sep lines', 'outside of', 'again outside']"
10,5,15,1,again outside of these regions very strong vertical sep lines,"['vertical sep lines', 'very strong', 'these regions', 'of these', 'regions very', 'of the', 'vertical sep', 'strong vertical', 'sep lines', 'outside of', 'again outside']"
9,9,15,1,no clear pattern except:,"['clear pattern', 'pattern except:', 'no clear']"
9,9,15,1,vertical lines at sep tokens,"['vertical line', 'at sep', 'lines at', 'sep tokens', 'vertical lines']"
9,9,15,1,in-block region attention: mostly attention of several tokens to properties inside block (also some outside block),"['to properties', 'region attention:', '(also some', 'properties in', 'region at', 'properties inside', 'outside block)', 'of several', 'attention: mostly', 'block (also', 'inside block', 'attention of', 'some outside', 'several tokens', 'mostly attention', 'tokens to', 'in-block region']"
9,11,15,1,only strong vertical sep lines,"['vertical sep lines', 'vertical sep', 'strong vertical', 'only strong', 'sep lines']"
9,8,15,1,tokens of premise and consequence attending to property of premise,"['tokens of', 'of premise', 'and consequence', 'to property', 'attending to', 'premise and', 'property of', 'consequence attending']"
9,8,15,1,also strong attention to tokens outside of main diagonal block regions: tokens of second block attending to property of premise of if-statement,"['regions: tokens', 'second block', 'tokens of', 'of premise', 'block attending', 'strong attention', 'of main', 'attention to', 'tokens outside', 'of if-statement', 'of second', 'outside of', 'diagonal block', 'premise of', 'to property', 'also strong', 'block regions:', 'main diagonal', 'attending to', 'block regions', 'property of', 'to tokens']"
9,10,15,1,vertical sep lines,"['vertical sep lines', 'vertical sep', 'sep lines']"
9,10,15,1,again attention inside (ans slightly outside) blocks of several tokens (mostly 'is' and delimiters) to subject and properties in block,"['in block', 'and delimiters)', 'attention in', 'properties in', 'blocks of', 'to subject', 'inside (ans', 'of several', 'and properties', 'again attention', 'slightly outside)', 'outside) blocks', 'subject and', ""'is' and"", ""(mostly 'is'"", '(ans slightly', 'several tokens', 'attention inside', 'tokens (mostly', 'delimiters) to']"
9,7,15,1,again if-statement attending to properties of both premise and consequence,"['to properties', 'both premise', 'properties of', 'of both', 'if-statement attending', 'again if-statement', 'and consequence', 'in if-statement', 'attending to', 'premise and']"
9,1,15,1,no clear pattern here,"['clear pattern', 'no clear', 'pattern here']"
9,1,15,1,if-statement attending to subject and property tokens of its own statements,"['property tokens', 'property token', 'tokens of', 'if-statement attending', 'to subject', 'own statements', 'subject and', 'of its', 'attending to', 'its own', 'and property']"
8,10,15,1,strong vertical lines except for where attention is given to other tokens (of course since sum has to be 1 (attentions are normalized)),"['lines except', 'attention is', '1 (attentions', 'sum has', 'vertical line', 'strong vertical', 'given to', 'for where', 'are normalized))', 'to be', 'has to', 'course since', 'except for', 'be 1', 'is given', 'where attention', '(attentions are', 'tokens (of', 'since sum', 'other tokens', '(of course', 'to other', 'vertical lines']"
8,11,15,1,attention inside block regions,"['attention in', 'inside block', 'block regions', 'attention inside']"
8,11,15,1,no notable (sub) patterns inside of blocks,"['notable (sub)', 'no notable', 'inside of', 'of block', '(sub) patterns', 'of blocks', 'patterns inside']"
8,11,15,1,again vertical lines,"['vertical line', 'vertical lines', 'again vertical']"
8,9,15,1,attention inside of block regions determined by seperation of theory into statements,"['regions determined', 'attention in', 'of the', 'by seperation', 'determined by', 'of theory', 'inside of', 'of block', 'theory into', 'seperation of', 'block regions', 'attention inside', 'into statements']"
8,9,15,1,most notably statements attending to their own property (at the end of the statement),"['at the', 'the end', 'statements attend', '(at the', 'statements attending', 'of the', 'the statement)', 'most notably', 'property (at', 'to the', 'end of', 'their own', 'own property', 'notably statements', 'to their', 'attending to']"
9,5,15,1,second block region: attention of all tokens (except delimiters between statements i.e. facts and implicit rule) to all subjects and properties in this block,"['i.e. facts', 'second block', 'in this', 'of all', 'all tokens', 'properties in', 'implicit rule)', 'of a', 'and implicit', 'statements i.e.', 'tokens (except', 'delimiters between', 'facts and', 'rule) to', 'and properties', 'region: attention', 'between statements', 'to all', 'this block', 'block region:', 'attention of', '(except delimiters', 'subjects and', 'all subjects']"
9,5,15,1,if-statement attends to last property tokens of both premise and consequence,"['to last', 'property tokens', 'both premise', 'property token', 'statement attends', 'tokens of', 'of both', 'last property', 'attends to', 'and consequence', 'if-statement attends', 'premise and']"
8,6,15,1,tokens very slightly attending to previous tokens in statement,"['in statement', 'tokens in', 'previous tokens', 'very slightly', 'tokens very', 'to previous', 'attending to', 'slightly attending', 'previous token']"
